type,url,filter,listing_count,phase
listing,/restaurant/west-melbourne/another-broken-egg-cafe-1507168,license_key=1507168,1,3
listing,/restaurant/lake-mary/another-broken-egg-cafe-6905129,license_key=6905129,1,1
listing,/restaurant/oviedo/anthony-s-pizza-broadway-6903770,license_key=6903770,1,3
listing,/restaurant/orlando/anthony-s-pizza-cafe-5808952,license_key=5808952,1,2
listing,/restaurant/apopka/anthony-s-pizza-5807625,license_key=5807625,1,2
listing,/restaurant/deland/anthony-s-pizza-7407390,license_key=7407390,1,2
listing,/restaurant/port-st-lucie/anthony-s-pizza-6602469,license_key=6602469,1,2
listing,/restaurant/orlando/antille-s-cuisine-5813014,license_key=5813014,1,3
listing,/restaurant/orlando/antilles-cuisine-2-5811230,license_key=5811230,1,3
listing,/restaurant/orlando/antojitos-downstairs-5809164,license_key=5809164,1,2
listing,/restaurant/orlando/antojitos-upstairs-5809165,license_key=5809165,1,1
listing,/restaurant/cocoa/antojitos-cafe-mi-tierra-llc-1505954,license_key=1505954,1,3
listing,/restaurant/pierson/antojitos-de-mi-tierra-hidalguense-7407389,license_key=7407389,1,3
listing,/restaurant/apopka/antojitos-la-mexicana-5812003,license_key=5812003,1,3
listing,/restaurant/fort-pierce/antojitos-mexicanos-6603041,license_key=6603041,1,2
listing,/restaurant/kissimmee/antojos-boricuas-ii-5911120,license_key=5911120,1,3
listing,/restaurant/satellite-beach/antonio-vittoria-italian-tavern-1506837,license_key=1506837,1,3
listing,/restaurant/orlando/antonio-s-house-of-pizza-5809159,license_key=5809159,1,2
listing,/restaurant/kissimmee/antonios-house-of-pizza-5911389,license_key=5911389,1,1
listing,/restaurant/fort-pierce/app-jet-center-fort-pierce-6601956,license_key=6601956,1,3
listing,/restaurant/st-cloud/app-s-st-cloud-pizza-subs-5900415,license_key=5900415,1,2
listing,/restaurant/orlando/apple-spice-junction-5811535,license_key=5811535,1,2
listing,/restaurant/clermont/applebee-s-neighborhood-grill-bar-4508733,license_key=4508733,1,1
listing,/restaurant/casselberry/applebee-s-neighborhood-grill-bar-6905037,license_key=6905037,1,2
listing,/restaurant/the-villages/applebees-neighborhood-grill-bar-4501994,license_key=4501994,1,1
listing,/restaurant/port-orange/applebees-neighborhood-grill-bar-7405512,license_key=7405512,1,1
listing,/restaurant/eustis/applebees-neighborhood-grill-bar-4508195,license_key=4508195,1,1
listing,/restaurant/melbourne/applebees-neighborhood-grill-bar-1504268,license_key=1504268,1,1
listing,/restaurant/kissimmee/applebees-neighborhood-grill-bar-5910934,license_key=5910934,1,1
listing,/restaurant/orange-city/applebees-neighborhood-grill-bar-7405361,license_key=7405361,1,1
listing,/restaurant/maitland/applebees-neighborhood-grill-bar-5810138,license_key=5810138,1,1
listing,/restaurant/melbourne/applebees-neighborhood-grill-bar-1504565,license_key=1504565,1,1
listing,/restaurant/kissimmee/applebees-neighborhood-grill-bar-5910952,license_key=5910952,1,1
listing,/restaurant/kissimmee/apps-eats-island-h2o-live-5911697,license_key=5911697,1,2
listing,/restaurant/melbourne-beach/aqua-bar-grill-1506229,license_key=1506229,1,3
listing,/restaurant/orlando/aquamarine-5812395,license_key=5812395,1,1
listing,/restaurant/melbourne/arabesque-flavors-of-the-middle-east-1507224,license_key=1507224,1,2
listing,/restaurant/lake-mary/aramark-jpmc-6903734,license_key=6903734,1,3
listing,/restaurant/jensen-beach/aramark-fpl-6602218,license_key=6602218,1,3
listing,/restaurant/cocoa/arbetters-hot-dogs-1502290,license_key=1502290,1,2
listing,/restaurant/oviedo/arcade-monsters-6905297,license_key=6905297,1,1
listing,/restaurant/orlando/arepa-burger-5811904,license_key=5811904,1,2
listing,/restaurant/orlando/arepas-el-cacao-5813276,license_key=5813276,1,1
listing,/restaurant/altamonte-springs/arepas-cafe-and-more-6903754,license_key=6903754,1,1
listing,/restaurant/orlando/arepera-la-nueva-5803705,license_key=5803705,1,1
listing,/restaurant/daytona-beach/arepita-beach-7407647,license_key=7407647,1,2
listing,/restaurant/celebration/ari-sushi-5910765,license_key=5910765,1,1
listing,/restaurant/winter-park/armando-s-5810297,license_key=5810297,1,1
